title,summary,overall_sentiment_score,overall_sentiment_label,Date,Time,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Live news updates: Infosys says it will move business out of Russia,The war-torn nation's president says instruments needed to be found to pressure Russia to stop forcibly deporting Ukrainians.,-0.057151,Neutral,2022-04-13,11:36:06,ORCL,0.276179,-0.057151,Neutral
Oracle Launches Complete Employee Experience Platform For Evolving Workforce Needs,"Comprehensive platform within Oracle Cloud HCM gives HR and business leaders tools to support employee success with new solutions for listening, communication, productivity, and engagement",0.155906,Somewhat-Bullish,2022-04-13,12:05:00,ORCL,0.813423,0.155906,Somewhat-Bullish
Ukraine crisis: Infosys to move business out of Russia,Infosys' presence in Moscow has come under attack as UK Chancellor Rishi Sunak's wife is the daughter of Infosys co-founder Narayana Murthy,-0.18886,Somewhat-Bearish,2022-04-13,12:10:00,ORCL,0.139913,-0.204988,Somewhat-Bearish
Oracle Whale Trades For April 14,"Someone with a lot of money to spend has taken a bearish stance on Oracle  ( NYSE:ORCL ) .
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.
Whether this is an institution or just a wealthy indi",0.039318,Neutral,2022-04-14,19:12:13,ORCL,0.62973,-0.057628,Neutral
Elon Musk baffles investors with 'Love Me Tender' tweet amid Twitter row,"The billionaire entrepreneur posted the cryptic tweet over weekend, possibly alluding to a direct tender offer to Twitter shareholders after the company implemented a 'poison pill' provision.",-0.038863,Neutral,2022-04-18,02:04:38,ORCL,0.068054,0.119866,Neutral
Compensation Software Market Size to Grow by USD 5.21 billion | Pricing Strategies to Drive Growth | Technavio,"Vendors' pricing strategies are driving the global compensation software industry growth. Software vendors are adopting customer-centric pricing strategies that are enabled by advances in technology to thrive in a competitive market environment. Customers focus on certain economic and market factors such as ROI, the ability to opt for free models, and the limited IT budgets while implementing the software. Vendors need to accommodate varying customer pricing preferences and budgets. The high price of the software and limited IT budgets have compelled vendors to re-evaluate the software pricing and delivery models. Therefore, vendors are providing SaaS, commercial open-source models, and term licensing to be in sync with the changing demands.",0.005489,Neutral,2022-04-18,05:45:00,ORCL,0.047588,0.002241,Neutral
61% of People Believe Bots Will Succeed Where Humans Have Failed with Corporate Sustainability,• Global study finds 94% of people believe society has not made enough progress on sustainability and social efforts,-0.045385,Neutral,2022-04-20,05:00:00,ORCL,0.231663,0.023203,Neutral
Here's How Much You Would Have Made Owning Oracle Stock In The Last 15 Years,"Oracle  ( NYSE:ORCL )  has outperformed the market over the past 15 years by 2.58% on an annualized basis producing an average annual return of 10.15%. Currently, Oracle has a market capitalization of $217.40 billion. 
Buying $100 In ORCL: If an ...Full story available on Benzinga.com",-0.006674,Neutral,2022-04-21,15:32:31,ORCL,0.983317,0.064503,Neutral
How Is The Market Feeling About Oracle Corporation?,"Oracle Corporation's  ( NYSE:ORCL )  short percent of float has risen 26.83% since its last report. The company recently reported that it has 23.66 million shares sold short, which is 1.56% of all regular shares that are available for trading. Based on its trading volume, it would take traders 2.4 d",-0.328687,Somewhat-Bearish,2022-04-22,20:10:12,ORCL,0.344712,-0.227777,Somewhat-Bearish
Is Oracle Stock Fairly Priced?,"It was driven by a 5% increase in the cloud services and license support revenues, followed by marginal growth in the cloud license and on-premise license revenues.",-0.093264,Neutral,2022-04-25,12:30:16,ORCL,0.259911,-0.168809,Somewhat-Bearish
Is First Trust Cloud Computing ETF  ( SKYY )  a Strong ETF Right Now?,Smart Beta ETF report for SKYY,0.085231,Neutral,2022-04-26,10:20:09,ORCL,0.114245,0.002118,Neutral
Zenni Optical Prescribes NetSuite for Enhanced Business Visibility,"Founded by two scientists in a Bay Area garage in 2003, Zenni has grown into an online optical industry leader that employs more than 1,200 people and has sold nearly 50 million pairs of glasses. To ensure that it could continue to deliver the most affordable eyeglasses with the highest quality optical lenses and the best customer support as its business expanded in scale and complexity - Zenni now offers more than 3,000 styles of glasses - Zenni needed to replace its existing financial system with a new enterprise resource planning  ( ERP )  system . After careful evaluation, Zenni replaced QuickBooks with NetSuite to improve efficiency and remove barriers to global expansion.",0.002363,Neutral,2022-04-27,12:00:00,ORCL,0.077593,0.002363,Neutral
Oracle  ( ORCL )  Outpaces Stock Market Gains: What You Should Know,"Oracle (ORCL) closed at $74.76 in the latest trading session, marking a +0.34% move from the prior day.",0.019909,Neutral,2022-04-27,21:45:19,ORCL,0.517387,0.020883,Neutral
"Healthcare Supply Chain Management Market Size to Reach $4,999.3 Million in 2030, says P&S Intelligence","Healthcare Supply Chain Management Market Size to Reach $4999.3 Million in 2030, says P&S Intelligence PR Newswire",0.045286,Neutral,2022-04-29,07:10:00,ORCL,0.056822,0.008518,Neutral
Oracle  ( ORCL )  Stock Sinks As Market Gains: What You Should Know,"Oracle (ORCL) closed the most recent trading day at $73.29, moving -0.96% from the previous trading session.",0.00781,Neutral,2022-05-03,22:00:18,ORCL,0.545297,0.005544,Neutral
DFIN's ActiveDisclosure Achieves 'Built for NetSuite' Status,"The new ActiveDisclosure SuiteApp is a cloud-based filing solution that takes the complexities out of regulatory reporting. With seamless integration with NetSuite, ActiveDisclosure gives financial teams a robust set of features that help improve collaboration, increase accuracy, and assist with compliance.",0.079922,Neutral,2022-05-04,11:30:00,ORCL,0.080919,0.00228,Neutral
"Oracle Named a Leader in Analyst Report for B2B Commerce Solutions, Q2 2022","Independent Research Firm recognizes Oracle Advertising and Customer Experience for its ""strength in product vision and execution roadmap"" in Commerce",0.059283,Neutral,2022-05-04,15:00:00,ORCL,0.973855,0.059283,Neutral
Here's How Much $100 Invested In Oracle 15 Years Ago Would Be Worth Today,"Oracle  ( NYSE:ORCL )  has outperformed the market over the past 15 years by 2.55% on an annualized basis producing an average annual return of 9.63%. Currently, Oracle has a market capitalization of $196.00 billion. 
Buying $100 In ORCL: If an ...Full story available on Benzinga.com",-0.019931,Neutral,2022-05-04,18:20:04,ORCL,0.983461,0.047438,Neutral
Twitter Stock Leaps As Elon Musk Gets $7.1 Billion In New Takeover Financing,"Elon Musk looks to have won over Saudi Prince Alwaleed Bin Talal, while bringing on board a series of new equity investors, in his $44 billion pursuit of Twitter.",0.007086,Neutral,2022-05-05,10:45:00,ORCL,0.278909,0.012641,Neutral
Elon Musk Gets $7 Billion in Fresh Financing for Twitter Deal,The CEO of Tesla says he has received letters from investors committing more than $7 billion in fresh financing to boost the equity part of his offer to buy Twitter.,0.013453,Neutral,2022-05-05,10:58:00,ORCL,0.45634,0.004033,Neutral
Stock Market Today - 5/5: Stocks Slide As Post-Fed Rally Fizzles; Musk Gets Big Boost For Twitter Takeover,Wall Street looks set for a weaker open Thursday as yesterday's Fed-induced rally flames out and investors focus on jobs and growth prospects amid the central bank's inflation fight.,-0.079237,Neutral,2022-05-05,11:15:00,ORCL,0.162876,0.022164,Neutral
Musk secures over $7 bn funding from investors for Twitter takeover,"The move comes as Musk's margin loan was reduced to $6.25 billion from $12.5 billion announced earlier, according to the filing.",-0.012443,Neutral,2022-05-05,11:49:00,ORCL,0.145145,0.005599,Neutral
Oracle Fusion Cloud Provides Real-time Insights to One of Nation's Largest Energy Infrastructure Companies,"With Eyes on Efficiency and Cost Control, Williams Moves Finance and Operations Processes to Oracle Cloud ERP",0.119166,Neutral,2022-05-05,12:00:00,ORCL,0.864213,0.119166,Neutral
Elon Musk Bags Over $7B In Twitter Deal Financing,"A group of 19 investors have committed $7.14 billion in new financing to boost the equity portion of Tesla, Inc  ( NASDAQ: TSLA )  CEO Elon Musk's offer to buy Twitter, Inc  ( NYSE: TWTR ) .
The new financing commitments reduce Musk's $12.5-billion margin loan to $6.25 billion, the Wall Street Journ",-0.029672,Neutral,2022-05-05,12:03:07,ORCL,0.380591,0.000567,Neutral
"Elon Musk says Larry Ellison, Binance, Sequoia will now help fund Twitter bid",Elon Musk is getting help from more than a dozen additional high-profile names as he looks to buy Twitter Inc.,-0.011078,Neutral,2022-05-05,12:48:00,ORCL,0.225845,0.001954,Neutral
Tesla Chief Likely To Take Over As Temp Twitter CEO: CNBC,"Tesla, Inc  ( NASDAQ: TSLA )  chief Elon Musk will likely serve as Twitter, Inc's  ( NYSE: TWTR )  temporary CEO for a few months post the $44 billion takeover closes, CNBC reports.
As per sources to CNBC's David Faber, Musk recently led investor presentations offering financial projections based on",-0.02976,Neutral,2022-05-05,18:05:43,ORCL,0.359968,0.008101,Neutral
Elon Musk's $400M Backing From a16z For Twitter Also Brings Facebook In The Picture,"Andreessen Horowitz's bid to join Tesla Inc  ( NASDAQ: TSLA )  CEO Elon Musk in his takeover of Twitter Inc  ( NYSE: TWTR )  could reportedly spur a conflict or two.
What Happened: The Silicon Valley venture capital firm's involvement in the Musk-Twitter deal is under the scanner as co-founder and g",-0.044583,Neutral,2022-05-06,09:23:08,ORCL,0.269181,-0.116852,Neutral
Elon Musk Smart For Bringing Others Into Twitter Deal: Analyst,"Tesla Inc  ( NASDAQ: TSLA )  CEO Elon Musk's move to shore up $7.1 billion in new financing from 19 investors including Oracle Corp  ( NYSE: ORCL )  founder Larry Ellison to finance his $44 billion take-private deal is a ""smart and strategic move"" by the world's richest man, according to Wedbush Sec",-0.003357,Neutral,2022-05-06,10:47:40,ORCL,0.286696,0.040471,Neutral
"Musk, Twitter sued by Florida pension fund over $44bn takeover",The Orlando Police Pension Fund argues the deal can't close before 2025 because Musk was an 'interested shareholder' in the social networking platform.,-0.012233,Neutral,2022-05-06,19:25:02,ORCL,0.091509,0.049321,Neutral
Oracle  ( ORCL )  Stock Moves -1.31%: What You Should Know,"In the latest trading session, Oracle (ORCL) closed at $71.54, marking a -1.31% move from the previous day.",-0.047339,Neutral,2022-05-09,22:00:07,ORCL,0.585211,0.007354,Neutral
"With 5.8% CAGR, HR Technology Market Size [2022-2028] worth USD 35.68 Billion in 2028","Pune, India, May  10, 2022   ( GLOBE NEWSWIRE )  -- The HR Technology Market Size is set to increase from the rising focus of companies on employee experience. As per Josh Bersin, the Founder of Bersin & Associates, employers are nowadays using HR technology tools to enhance the employee experience ",0.017015,Neutral,2022-05-10,10:50:02,ORCL,0.079366,0.064316,Neutral
Dallas Wings Score a Slam Dunk with NetSuite,"As the Dallas Wings build on its winning 2021 season and playoff appearance, key player re-signings and increased global exposure for the league have created new business opportunities and brand partnerships for the organization. To effectively capitalize on these opportunities, the Dallas Wings needed to improve visibility into its business and accelerate financial decision making. After a careful evaluation of vendors, including Sage Intacct , the Dallas Wings selected NetSuite to replace its existing financial systems to consolidate and automate financial operations, while also delivering enhanced business insights. The Dallas Wings selected Allied Cloud Solutions as its implementation partner.",0.080114,Neutral,2022-05-10,12:00:00,ORCL,0.083745,0.00228,Neutral
Tesla's stock slide raises doubts about Elon Musk's Twitter purchase,New York  (  CNN Business  )  Elon Musk's bold plan to buy Twitter depends partly on how his investment in Tesla is doing. Uh-oh.,-0.210841,Somewhat-Bearish,2022-05-11,16:06:00,ORCL,0.122331,-0.03414,Neutral
Tesla's stock slide raises doubts about Elon Musk's Twitter purchase,New York ( CNN Business ) Elon Musk's bold plan to buy Twitter depends partly on how his investment in Tesla is doing. Uh-oh. Shares of Tesla ( TSLA ) have plummeted about 20% since Musk first disclosed plans to buy all of Twitter and take it private.,-0.210841,Somewhat-Bearish,2022-05-11,17:46:42,ORCL,0.122331,-0.03414,Neutral
Elon Musk Faces Federal Probe Over Twitter Stake Disclosure,"Tesla Inc ( NASDAQ: TSLA ) CEO Elon Musk is facing a federal probe over missing a key deadline last month to disclose a sizable stake in Twitter Inc ( NYSE: TWTR ) , the microblogging site that he is now buying for $44 billion, The Wall Street Journal reported on Wednesday, citing people familiar",-0.04892,Neutral,2022-05-12,01:56:47,ORCL,0.208464,0.006316,Neutral
ORCL: 2 Big Data Stocks Worth Buying Now,The increasing digitization and the use of analytics across almost every industry to increase work efficiency and magnify opportunities is enhancing the prospects of big data companies.,0.09847,Neutral,2022-05-12,20:38:38,ORCL,0.677475,0.137458,Neutral
Could Musk's Twitter Buyout Hit the Skids?,"Anyone who expected turbulence amid Elon Musk's quest to acquire Twitter ( TWTR ) got precisely what they anticipated Friday morning, when the Tesla ( TSLA ) CEO tweeted that the Twitter deal was ""temporarily on hold."" TWTR shares plunged roughly 15% in Friday's early trade following Musk's twee",-0.125534,Neutral,2022-05-13,12:13:14,ORCL,0.157844,0.0059,Neutral
Twitter Deal: Musk Has Some Good News for Tesla Investors,Elon Musk's financing of the acquisition of microblogging website Twitter involves a margin loan tied to the billionaire's Tesla shares.,-0.148727,Neutral,2022-05-13,14:17:00,ORCL,0.163023,0.004395,Neutral
Elon Musk Has Some Good News for Tesla Investors,Elon Musk's financing of the acquisition of microblogging website Twitter involves a margin loan tied to the billionaire's Tesla shares.,-0.148727,Neutral,2022-05-13,14:33:00,ORCL,0.163023,0.004395,Neutral
"With 19.8% CAGR, Global Linux Operating System Market Size Worth USD 22.15 Billion in 2029","Pune, India, May 16, 2022 ( GLOBE NEWSWIRE ) -- The global Linux operating system market size is expected to rise from USD 6.27 billion in 2022 to USD 22.15 billion by 2029 at a CAGR of 19.8% during the forecast period. The market is expected to grow during the projected period due to rising ado",-0.005091,Neutral,2022-05-16,08:08:54,ORCL,0.039154,0.0005,Neutral
Should You Invest in the First Trust Cloud Computing ETF  ( SKYY ) ?,Sector ETF report for SKYY,0.057941,Neutral,2022-05-16,10:20:07,ORCL,0.124582,0.002118,Neutral
Elon Musk Thinks of Buying Twitter at a Lower Price,The billionaire has launched a public campaign designed to force Twitter's board of directors to renegotiate the price.,-0.176372,Somewhat-Bearish,2022-05-16,23:00:00,ORCL,0.146737,0.019461,Neutral
"Customer Communication Management Market Size Report [2022-2029] | Global Industry Share, Growth Rate, Key Players, Type & Application, Expansion Plans, Recent Developments, Revenue, Challenges, Restraints Analysis","Pune, India, May 17, 2022 ( GLOBE NEWSWIRE ) -- The customer communication management market size will witness an appreciable gain on the back of the rising adoption of customer communication management ( CCM ) solutions across industry verticals. With rising demand to enhance the customer exp",0.094263,Neutral,2022-05-17,08:19:28,ORCL,0.038592,0.028095,Neutral
